1;Доля дисциплин (модулей), обеспеченных соответствующим методическим обеспечением;%;полугодовой;стратегический;
2;Литература, изданная: – центральными издательствами, – с грифом УМО, федеральных органов исполнительной власти, другими грифами, – с грифом РУМЦ, – без грифа;ед.;годовой;стратегический;
3;Количество статей, опубликованных: – в зарубежных изданиях, – в том числе при участии обучающихся – в изданиях, индексируемых библиографической базой РИНЦ (в том числе в российских изданиях из перечня ВАК), – в том числе при участии обучающихся– в изданиях, индексируемых библиографической базой Web of Science, – в том числе при участии обучающихся – в изданиях, индексируемых библиографической базой Scopus, – в том числе при участии обучающихся – в других российских изданиях – в том числе при участии обучающихся;ед.;полугодовой;текущий;
4;Количество докладов, сделанных на научных конференциях, семинарах, и т. п. всех уровней, в том числе студенческих, Из них: – международных, – всероссийских, – региональных;ед.;полугодовой;стратегический;
5;Объем средств научно-исследовательских и опытно-конструкторских работ на одного научно-педагогического работника кафедры, Объем средств научно-исследовательских и опытно-конструкторских работ на одного обучающегося;тыс. руб.;месячный;текущий;
6;Получено патентов, Число свидетельств о гос. регистрации, Количество проданных лицензий на объекты интеллектуальной собственности;ед.;годовой;стратегический;
7;Количество международных мероприятий с участием кафедры в кампусе на острове Русский;шт.;годовой;стратегический;
8;Количество международных договоров (соглашений), в реализации которых участвует кафедра;ед.;месячный;текущий;
9;Количество привлеченных на трудовые контракты на кафедру НПР с международного академического рынка труда (не ниже кандидата наук или PhD);чел.;полугодовой;текущий;
10;Количество молодых кандидатов наук и PhD, привлеченных на кафедру с международного рынка труда;чел.;полугодовой;текущий;
11;Количество выданных по программе конкурсной поддержки академической мобильности студентов и аспирантов кафедры тревел-грантов;ед./год;годовой;стратегический;
12;Доля оснащенности необходимым оборудованием и расходными материалами лабораторий, входящих в состав кафедры;ед.;годовой;текущий;
13;Общее количество проектов, реализованных сотрудниками кафедры - из них с участием обучающихся;ед.;годовой;стратегический;
14;Доля студентов, принявших участие в проектах, реализуемых сотрудниками Департамента, от общей численности обучающихся на образовательных программах, закрепленных за Кафедрой;чел.;годовой;стратегический;
